Ic (@Vce=1.5V) = {0.170mA, 0.3653mA, 0.7346mA, 1.391mA, 2.528mA, 
4.373mA, 7.044mA, 10.49mA, 14.56mA, 19.11mA, 23.72mA, 27.26mA,
30.26mA, 33.18mA}

H21 vs. freq
Point prm/cv                      freq                  H21_dB.m
  255  67/ 2  6.80000000000000000E+010 -1.63398323119969380E+000
  256  68/ 2  6.90000000000000000E+010 -1.87100037329579650E+000
  257  69/ 2  7.00000000000000000E+010 -1.44063980705456410E+000
  258  70/ 2  7.10000000000000000E+010 -1.77964211261530190E+000
  259  71/ 2  7.20000000000000000E+010 -1.70252560682657790E+000
  260  72/ 2  7.30000000000000000E+010 -2.11824223694210370E+000
  261  73/ 2  7.40000000000000000E+010 -1.83644190936307040E+000
  262  74/ 2  7.50000000000000000E+010 -2.01173874674634060E+000
  263  75/ 2  7.60000000000000000E+010 -2.05468686481568330E+000
  264  76/ 2  7.70000000000000000E+010 -2.25157321061368740E+000
  265  77/ 2  7.80000000000000000E+010 -2.38918494385015650E+000
  266  78/ 2  7.90000000000000000E+010 -2.16565714550150680E+000
  267  79/ 2  8.00000000000000000E+010 -2.13211190774650560E+000
  268  80/ 2  8.10000000000000000E+010 -3.21345965736170580E+000
  269  81/ 2  8.20000000000000000E+010 -2.94152546154221110E+000
  270  82/ 2  8.30000000000000000E+010 -2.44466626976480580E+000
  271  83/ 2  8.40000000000000000E+010 -2.19022306853940170E+000
  272  84/ 2  8.50000000000000000E+010 -2.92971198390899620E+000
  273  85/ 2  8.60000000000000000E+010 -2.68104369635497400E+000
  274  86/ 2  8.70000000000000000E+010 -2.93604393024925070E+000
  275  87/ 2  8.80000000000000000E+010 -2.97234972385331810E+000
  276  88/ 2  8.90000000000000000E+010 -3.17298698986428910E+000
  277  89/ 2  9.00000000000000000E+010 -3.33729549613928800E+000
  278  90/ 2  9.10000000000000000E+010 -2.58989940381781030E+000
  279  91/ 2  9.20000000000000000E+010 -3.12082724296431070E+000
  280  92/ 2  9.30000000000000000E+010 -3.57295389766618320E+000
  281  93/ 2  9.40000000000000000E+010 -3.59187674943724830E+000
  282   0/ 3  1.00000000000000000E+009  3.73962394721600260E+001
  283   1/ 3  2.00000000000000000E+009  3.13265325248250690E+001
  284   2/ 3  3.00000000000000000E+009  2.77805932240584530E+001
  285   3/ 3  4.00000000000000000E+009  2.52151244426800180E+001
  286   4/ 3  5.00000000000000000E+009  2.32378427824286790E+001
  287   5/ 3  6.00000000000000000E+009  2.16399469509448250E+001
  288   6/ 3  7.00000000000000000E+009  2.02977697095071400E+001
  289   7/ 3  8.00000000000000000E+009  1.91239383798874910E+001
  290   8/ 3  9.00000000000000000E+009  1.81952311641823490E+001
  291   9/ 3  1.00000000000000000E+010  1.71293770553900020E+001
  292  10/ 3  1.10000000000000000E+010  1.63329958401735520E+001
  293  11/ 3  1.20000000000000000E+010  1.56416850908003880E+001
  294  12/ 3  1.30000000000000000E+010  1.48910598291632380E+001
  295  13/ 3  1.40000000000000000E+010  1.42359728689173930E+001
  296  14/ 3  1.50000000000000000E+010  1.36500919002178890E+001
  297  15/ 3  1.60000000000000000E+010  1.28707320665307370E+001
  298  16/ 3  1.70000000000000000E+010  1.26043200743302180E+001
  299  17/ 3  1.80000000000000000E+010  1.20005123365962960E+001
  300  18/ 3  1.90000000000000000E+010  1.16475134165745970E+001
  301  19/ 3  2.00000000000000000E+010  1.10695744307565960E+001
  302  20/ 3  2.10000000000000000E+010  1.07700882126522240E+001
  303  21/ 3  2.20000000000000000E+010  1.03772158462354480E+001
  304  22/ 3  2.30000000000000000E+010  9.91711072345513860E+000
  305  23/ 3  2.40000000000000000E+010  9.67143006527265040E+000
  306  24/ 3  2.50000000000000000E+010  9.30915530304777050E+000
  307  25/ 3  2.60000000000000000E+010  8.89279144923122190E+000
  308  26/ 3  2.70000000000000000E+010  8.61162530781252760E+000
  309  27/ 3  2.80000000000000000E+010  8.27276543627401220E+000
  310  28/ 3  2.90000000000000000E+010  8.00464762765102120E+000
  311  29/ 3  3.00000000000000000E+010  7.67773118992556820E+000
  312  30/ 3  3.10000000000000000E+010  7.30626038266832280E+000
  313  31/ 3  3.20000000000000000E+010  7.29843214826151690E+000
  314  32/ 3  3.30000000000000000E+010  6.94597921082980550E+000
  315  33/ 3  3.40000000000000000E+010  6.62667194585974780E+000
  316  34/ 3  3.50000000000000000E+010  6.40991886504864360E+000
  317  35/ 3  3.60000000000000000E+010  6.08732088378575400E+000
